,area_type,location,total_sqft,bathroom,balcony,price,BHK
0,Super built-up  Area,Electronic City Phase II,1056.0,2.0,1,39.07,2.0
2,Built-up  Area,Uttarahalli,1440.0,2.0,3,62.0,3.0
3,Super built-up  Area,Lingadheeranahalli,1521.0,3.0,1,95.0,3.0
4,Super built-up  Area,Kothanur,1200.0,2.0,1,51.0,2.0
6,Super built-up  Area,Old Airport Road,2408.5,4.0,1,204.0,4.0
7,Super built-up  Area,Rajaji Nagar,2408.5,4.0,1,220.0,4.0
11,Plot  Area,Whitefield,2408.5,5.0,3,220.0,4.0
12,Super built-up  Area,7th Phase JP Nagar,1000.0,2.0,1,38.0,2.0
13,Built-up  Area,Gottigere,1100.0,2.0,2,40.0,2.0
14,Plot  Area,Sarjapur,2250.0,3.0,2,148.0,3.0
15,Super built-up  Area,Mysore Road,1175.0,2.0,2,73.5,2.0
16,Super built-up  Area,Bisuvanahalli,1180.0,3.0,2,48.0,3.0
18,Super built-up  Area,Other,2408.5,4.0,2,220.0,3.0
20,Built-up  Area,Kengeri,900.0,1.0,1,38.0,1.0
21,Super built-up  Area,Binny Pete,1755.0,3.0,1,122.0,3.0
22,Plot  Area,Thanisandra,2408.5,5.0,2,220.0,4.0
23,Super built-up  Area,Bellandur,1767.0,3.0,1,103.0,3.0
24,Super built-up  Area,Other,900.0,1.0,0,38.0,1.0
28,Super built-up  Area,Ramagondanahalli,1151.0,2.0,2,48.77,2.0
29,Super built-up  Area,Electronic City,1025.0,2.0,1,47.0,3.0
30,Super built-up  Area,Yelahanka,2408.5,4.0,0,186.0,4.0
32,Super built-up  Area,Hebbal,1760.0,2.0,2,123.0,3.0
34,Built-up  Area,Kasturi Nagar,1925.0,3.0,1,125.0,3.0
37,Super built-up  Area,Kundalahalli,1724.0,3.0,2,125.0,3.0
39,Built-up  Area,Uttarahalli,1143.0,2.0,2,45.0,2.0
40,Built-up  Area,Other,1296.0,2.0,1,81.0,2.0
42,Super built-up  Area,Other,900.0,1.0,0,38.0,1.0
43,Plot  Area,Yelahanka,900.0,1.0,0,48.0,1.0
44,Super built-up  Area,Kanakpura Road,1330.74,2.0,2,91.79,2.0
45,Plot  Area,HSR Layout,900.0,2.0,1,200.0,3.0
46,Super built-up  Area,Doddathoguru,970.0,2.0,0,38.0,2.0
47,Super built-up  Area,Whitefield,1459.0,2.0,1,94.82,2.0
48,Plot  Area,KR Puram,900.0,1.0,1,130.0,2.0
53,Super built-up  Area,Lakshminarayana Pura,1185.0,2.0,2,75.0,2.0
55,Super built-up  Area,Begur Road,1200.0,2.0,2,44.0,2.0
57,Super built-up  Area,Other,1500.0,2.0,2,185.0,2.0
60,Plot  Area,Other,2408.5,3.0,2,220.0,3.0
61,Super built-up  Area,Other,900.0,2.0,1,55.0,2.0
62,Plot  Area,Whitefield,2408.5,5.0,3,220.0,4.0
63,Built-up  Area,Varthur,1160.0,2.0,2,44.0,2.0
64,Built-up  Area,Bommanahalli,2408.5,2.0,0,140.0,3.0
65,Super built-up  Area,Doddathoguru,1100.0,2.0,1,62.0,2.0
66,Super built-up  Area,Gunjur,1140.0,2.0,3,43.0,2.0
67,Super built-up  Area,Marathahalli,1220.0,2.0,1,57.0,2.0
68,Plot  Area,Other,1350.0,2.0,0,85.0,3.0
70,Plot  Area,Other,900.0,3.0,2,100.0,3.0
71,Super built-up  Area,Begur Road,1358.0,2.0,1,80.58,2.0
72,Super built-up  Area,Hegde Nagar,1569.0,3.0,1,101.0,3.0
73,Super built-up  Area,Haralur Road,1240.0,2.0,1,70.0,2.0
