,id,comment_text,identity_hate
42,001810bf8c45bf5f,you are gay or antisemmitian archangel white tigermeow greetingshhhuh there are two ways why you do erased my comment about  that holocaust was brutally slaying of jews and not gaysgypsysslavsanyone  if you are antisemitian than shave your head bald and go to the skinhead meetings  if you doubt words of the bible that homosexuality is a deadly sin make a pentagram tatoo on your forehead go to the satanistic masses with your gay pals  first and last warning you fucking gay  i wont appreciate if any more nazi shwain would write in my page i dont wish to talk to you anymorebeware of the dark side,1
105,00472b8e2d38d1ea,a pair of jewhating weiner nazi schmucks,1
176,006b94add72ed61c,i think that your a fagget get a oife and burn in hell i hate you m sorry we cant have any more sex im running out of conndoms,1
218,008e0818dde894fb,kill all niggers i have hard that others have said this should this be included that racists sometimes say these,1
238,0097dd5c29bf7a15,u r a tw fuck off u gay boyu r smellyfuck ur mum poopie,1
429,01166f26ee280e56,gay the existence of cdvf is further proof that  is a sad twat he is also very ugly and has a willy for a face,1
521,015d1b0bb4cc744d,dictionarieshow dare you call my contribution spam i am a kurd and i made a lsit of kurdish dictionaries you bloody turkish nationalist and atoricity commiting bone breaking nazi watch out folk this slimy turk is trying to censor the internet this is not undemocratic turkey here no prison cells in wikipedia you stupid turk and you buggers want membership to the eec,1
887,026bd33490542b2e,you gay motherfucker i know where you livei am going to sand your face offthen i am to going to beat you to a pulpyou chicken shagger,1
952,029dceed3519e371,you studid cock sucker u stop callin me ok its a frank garrett eatin the worms crawl outa your moms pussy you fucking retardo hit i retardo,1
1017,02c6e41e4b317ac3,wouldnt be the first time bitch fuck you ill find out where you live sodomize your wife and then burn your house down fuck you you fucking queer,1
1116,03088aacc4600323,fuck you faggot i dont care if i get blocked as long as everyone knows you are a dumb cunt,1
1149,031be7991d883341,hey you freaking hermaphrodite please unprotect your user page i would like to move it to a more suitable title or three,1
1288,037f8fbe6e9cbe03,ghe youre a fag learn it know it,1
1312,039296aa294ee10b,shut up you fat poop or i will kick your ass,1
1524,041aeadcdbc3543a,that was a good edit the polar bear is gay,1
1535,0420f5f4e950566b,demonte morton u bastard stop deletin my shit u white trash cracker muthafucker fuck u u racist bitch i hope u die,1
1539,04237ea01685d4b6,bla bla blasuck it irishguy ,1
1654,047b26be7714316a,you have evidence from me  i presented you with tone of evidence but you reject it because it goes against your fictional ideas of what new england is or should be  even easternsoutheast anyway ct is not into this new england thing which actually shocked me  i have told you time and again western ct does not think of ourselves in this ne thing  go to a town meeting and see if boston or ne comes up  ct and its place in the nyc metro area is what comes up  you are doing nothing but telling lies and spreading propaganda  it has to be because you dismiss my actual facts and you make too many excuses that hold no water  in my ct there are no signs that point to new england or boston  our signs point to new york state and cityalso how you people are not on this guys ass like you are on mine  i bet its cause we white folk from new england hate nyc niggers like this spick who posted above me go fuck yourselfthe preceding unsigned comment was added by  talk  contribs  i can only assume because he is one of you and he at least still believe in new england with boston as its capital  get your head out of your ass  watch you block me for those comments  if i get blocked that guy you should be blocked ,1
1776,04cf14506adaaf42,you are a faggotget a life ,1
1862,050ab8da16e75307,once again im so glad that wikipedia is not biased or filled with retarded children,1
